module,path,loc,src_incoming,src_outgoing,test_text_refs,flags
bremen,src/bremen/__init__.py,89,3,0,2335,
bremen.__main__,src/bremen/__main__.py,333,0,6,16,
bremen.api,src/bremen/api/__init__.py,8,0,0,716,
bremen.api.app,src/bremen/api/app.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.aramina_api_errors,src/bremen/api/aramina_api_errors.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.aramina_artifact_compat,src/bremen/api/aramina_artifact_compat.py [deleted in PR0162],0,0,0,0,"deprecated,shim,DELETE"
bremen.api.aramina_preprocessing,src/bremen/api/aramina_preprocessing.py [deleted in PR0162],0,0,0,0,"deprecated,shim,DELETE"
bremen.api.aramina_provider,src/bremen/api/aramina_provider.py [deleted in PR0162],0,0,0,0,"scaffold,DELETE"
bremen.api.aramina_symmetry,src/bremen/api/aramina_symmetry.py [deleted in PR0162],0,0,0,0,"deprecated,shim,DELETE"
bremen.api.decision_contract,src/bremen/api/decision_contract.py [deleted in PR0162],0,0,0,0,"legacy,DELETE"
bremen.api.decision_support,src/bremen/api/decision_support.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.event_schema,src/bremen/api/event_schema.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.event_store,src/bremen/api/event_store.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.execution_context,src/bremen/api/execution_context.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.execution_trace,src/bremen/api/execution_trace.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.fastapi_app,src/bremen/api/fastapi_app.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.fastapi_contracts,src/bremen/api/fastapi_contracts.py,67,1,0,3,legacy
bremen.api.fastapi_server,src/bremen/api/fastapi_server.py,119,1,1,8,
bremen.api.feature_artifact_prediction,src/bremen/api/feature_artifact_prediction.py,236,0,4,1,
bremen.api.h5_layouts,src/bremen/api/h5_layouts.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.inference_handler,src/bremen/api/inference_handler.py [deleted in PR0162],0,0,0,0,"legacy,DELETE"
bremen.api.job_api_handler,src/bremen/api/job_api_handler.py [deleted in PR0162],0,0,0,0,DELETE
bremen.api.job_models,src/bremen/api/job_models.py [deleted in PR0162],0,0,0,0,DELETE
